Department,Course Code,Human Health,Data and Computation,AI,Clean Energy and Materials,Climate,Science and Society,Faculty of Arts: Ways of Knowing,Notes
BIOL,BIOL_V 445,,,,,,,,
BIOL,BIOL_V 450,,,,,,,,
BIOL,BIOL_V 451,,,,,,,,
BIOL,BIOL_V 454,,,,,,,,
BIOL,BIOL_V 459,,,,,,,,
BIOL,BIOL_V 462,,,,,,,,
BIOL,BIOL_V 464,,,,,,,,
CAPS,CAPS_V 206,,,,,,,,
CAPS,CAPS_V 391,,,,,,,,
CAPS,CAPS_V 424,,,,,,,,
CAPS,CAPS_V 426,,,,,,,,
CAPS,CAPS_V 431,,,,,,,,
CHEM,CHEM_V 100,,,,,,,,
CHEM,CHEM_V 123,,,,,,,,
CHEM,CHEM_V 135,,,,,,,,
CHEM,CHEM_V 205,,,,,,,,
CHEM,CHEM_V 213,,,,,,,,
CHEM,CHEM_V 218,,,,,,,,
CHEM,CHEM_V 245,,,,,,,,
CHEM,CHEM_V 302,,,,,,,,
CHEM,CHEM_V 305,,,,,,,,
CHEM,CHEM_V 311,,,,,,,,
CHEM,CHEM_V 313,,,,,,,,
CHEM,CHEM_V 327,,,,,,,,
CHEM,CHEM_V 329,,,,,,,,
CHEM,CHEM_V 401,,,,,,,,
CHEM,CHEM_V 402,,,,,,,,
CHEM,CHEM_V 403,,,,,,,,
CHEM,CHEM_V 407,,,,,,,,
CHEM,CHEM_V 409,,,,,,,,
CHEM,CHEM_V 410,,,,,,,,
CHEM,CHEM_V 411,,,,,,,,
CHEM,CHEM_V 412,,,,,,,,
CHEM,CHEM_V 416,,,,,,,,
CHEM,CHEM_V 417,,,,,,,,
CHEM,CHEM_V 418,,,,,,,,
CHEM,CHEM_V 434,,,,,,,,
CHEM,CHEM_V 461,,,,,,,,
CPSC,CPSC_V 107,,,,,,,,
CPSC,CPSC_V 203,,,,,,,,
CPSC,CPSC_V 303,,,,,,,,
CPSC,CPSC_V 319,,,,,,,,
CPSC,CPSC_V 406,,,,,,,,
CPSC,CPSC_V 410,,,,,,,,
CPSC,CPSC_V 411,,,,,,,,
CPSC,CPSC_V 417,,,,,,,,
CPSC,CPSC_V 420,,,,,,,,
CPSC,CPSC_V 424,,,,,,,,
CPSC,CPSC_V 426,,,,,,,,
CPSC,CPSC_V 440,,,,,,,,
CPSC,CPSC_V 444,,,,,,,,
CPSC,CPSC_V 490,,,,,,,,
CPSC,CPSC_V 491,,,,,,,,
DSCI,DSCI_V 310,,,,,,,,
DSCI,DSCI_V 320,,,,,,,,
EOAS,ENVR_V 402,,,,,,,,
EOAS,ENVR_V 420,,,,,,,,
EOAS,ENVR_V 440,,,,,,,,
EOAS,EOSC_V 213,,,,,,,,
EOAS,EOSC_V 221,,,,,,,,
EOAS,EOSC_V 222,,,,,,,,
EOAS,EOSC_V 223,,,,,,,,
EOAS,EOSC_V 240,,,,,,,,
EOAS,EOSC_V 250,,,,,,,,
EOAS,EOSC_V 270,,,,,,,,
